MouseState { coords: (630, 533), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (627, 540), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (629, 549), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (636, 559), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (647, 569), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (660, 580), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (674, 589), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (691, 602), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (702, 608), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (709, 612), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (710, 613), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (711, 614), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (707, 614), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (696, 614), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (683, 613), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (673, 613), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (667, 616), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (665, 624), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (667, 643), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (682, 674), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (708, 717), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (741, 758), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (780, 808), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (822, 846), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (861, 874), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (905, 896), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (955, 902), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1010, 901), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1072, 880), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1128, 849), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1183, 809), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1227, 768), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1259, 725), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1278, 683), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1287, 638), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1283, 598), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1260, 553), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1217, 513), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1156, 477), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1080, 449), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1005, 431), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (941, 423), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (894, 426), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (868, 441), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (854, 470), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (853, 500), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (868, 554), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (913, 622), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (974, 695), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1056, 764), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1158, 826), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1266, 868), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1371, 895), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1470, 909), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1541, 917), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1577, 919), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1576, 915), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1565, 912), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1536, 904), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1468, 883), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1371, 859), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1264, 833), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1156, 808), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1076, 795), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1031, 786), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1031, 785), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1031, 783), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1031, 779), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1040, 765), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1063, 737), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1095, 703), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1137, 668), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1171, 633), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1203, 599), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1221, 574), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1229, 557), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1229, 542), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1222, 529), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1196, 514), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1149, 499), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1080, 486), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (990, 480), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (898, 475), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (827, 476), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (782, 488), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (758, 500), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (751, 507), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (748, 516), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (753, 524), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (780, 532), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (828, 540), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (883, 544), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (942, 544), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1001, 535), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1053, 517), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1095, 498), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1121, 481), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1129, 470), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1131, 460), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1127, 446), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1101, 426), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1056, 402), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (993, 375), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (920, 353), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (840, 338), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (761, 330), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (688, 330), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (630, 337), button_pressed: [false, false, false, false, false, false] }
